text,aspect,true_sentiment,predicted_sentiment
"I have tried everything available on the AYCE menu, it has all been quite good (although I am not one to be especially particular with food, sushi in particular.",menu,neutral,neutral
"I have tried everything available on the AYCE menu, it has all been quite good (although I am not one to be especially particular with food, sushi in particular.",food,positive,positive
The interface is simple to use.,interface,positive,positive
This is a MUST HAVE product for all new moms!,product,positive,positive
We had to remind the waiter to pour our wine (white) and then he didn't show us the label.,waiter,negative,negative
We had to remind the waiter to pour our wine (white) and then he didn't show us the label.,wine,neutral,neutral
We had to remind the waiter to pour our wine (white) and then he didn't show us the label.,white,neutral,neutral
"The hike through the forest was peaceful and serene , but the trail was poorly marked .",forest,positive,negative
"The hike through the forest was peaceful and serene , but the trail was poorly marked .",trail,negative,negative
"the voice quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) .",quality,positive,positive
"the voice quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) .",reception,positive,positive
"Unfortunately , the installation software crashed several times and I had to reboot my Vista PC at least twice -- not fun .",installation software,negative,negative
"The quality of the clothes is great , but the customer service is terrible .",clothes is,positive,negative
"The quality of the clothes is great , but the customer service is terrible .",customer service,negative,negative
"All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.",programs,positive,positive
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",seafood,negative,negative
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",menu,negative,negative
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",Salmon,neutral,negative
"In my opinion , philosophy is a fascinating subject that can help us understand the world around us in a deeper way .",philosophy,positive,positive
The 6600 will provide similar service in more developed areas of The States and not as well in more remote areas.,6600,negative,neutral
The 6600 will provide similar service in more developed areas of The States and not as well in more remote areas.,service,negative,negative
"The legal system in this country is incredibly complex and difficult to navigate , especially for those without a law degree .",legal system,negative,negative
"The legal system in this country is incredibly complex and difficult to navigate , especially for those without a law degree .",those without a law degree,negative,negative
Take quick pictures with excelent resolution,pictures,positive,positive
wonderful features.,features,positive,positive
The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to a representative .,customer service,negative,negative
The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to a representative .,wait on hold,negative,negative
"I went to Mocca with my boyfriend for a few drinks and food, and I was really impressed by the service.",drinks,neutral,neutral
"I went to Mocca with my boyfriend for a few drinks and food, and I was really impressed by the service.",service,positive,positive
I appreciate the effort my professor puts into making the lectures engaging and interactive .,effort my professor,positive,positive
I appreciate the effort my professor puts into making the lectures engaging and interactive .,lectures,positive,positive
I appreciate the effort my professor puts into making the lectures engaging and interactive .,lectures,positive,positive
the place was empty and the waiters just hung out at the bar.,place,negative,negative
the place was empty and the waiters just hung out at the bar.,waiters,negative,negative
the place was empty and the waiters just hung out at the bar.,bar,neutral,neutral
They obviously have quality and reliability problems.,quality,negative,negative
They obviously have quality and reliability problems.,reliability,negative,negative
2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .,new release,negative,negative
2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .,beats,negative,negative
2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .,lyrics,negative,negative
"The camera body is sturdy , but the image quality is not as good as expected .",camera body,positive,positive
"The camera body is sturdy , but the image quality is not as good as expected .",image quality,negative,positive
"As an engineering student , it is frustrating that some professors do not provide enough practical experience in their courses .",professors,negative,negative
"As an engineering student , it is frustrating that some professors do not provide enough practical experience in their courses .",practical experience,negative,negative
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,positive,positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,positive,positive
"It is not a very stylish place, but we had some of the best Chinese food we ever had.",place,negative,positive
"It is not a very stylish place, but we had some of the best Chinese food we ever had.",Chinese food,positive,positive
"The price of this medicine is exorbitant , it is a major drawback for those who cannot afford it .",price,negative,negative
"The price of this medicine is exorbitant , it is a major drawback for those who cannot afford it .",major drawback,negative,negative
We keep the Diaper Champ in our daughter's nursery and her room definitely does NOT smell like dirty diapers.,Champ,positive,positive
"I prefer to sit in the lounge area or at the bar, as the service is quicker and the space is more attractive.",bar,neutral,neutral
"I prefer to sit in the lounge area or at the bar, as the service is quicker and the space is more attractive.",service,positive,positive
"I prefer to sit in the lounge area or at the bar, as the service is quicker and the space is more attractive.",space,positive,positive
"I say adequate because it was enough to get wireless working, but nowhere near enough instruction to do the proper configuration job that I could have done if so!",instruction,negative,negative
I always get the Shabu-Shabu dinner and the beef is always fresh .,beef,positive,positive
the food was lousy - too sweet or too salty and the portions tiny .,food,negative,negative
the food was lousy - too sweet or too salty and the portions tiny .,food,negative,negative
the food was lousy - too sweet or too salty and the portions tiny .,food,negative,negative
the food was lousy - too sweet or too salty and the portions tiny .,portions,negative,negative
The sound this slim design puts out !!,sound,positive,positive
The sound this slim design puts out !!,design,positive,positive
I have trashed this product on other opinion sites based on this major flaw alone.,product,negative,negative
"I appreciate the efforts of law enforcement to reduce crime in our city , but I think more needs to be done to address the root causes of criminal behavior .",efforts of law enforcement,positive,negative
"I appreciate the efforts of law enforcement to reduce crime in our city , but I think more needs to be done to address the root causes of criminal behavior .",root causes of criminal behavior,neutral,negative
brick oven gallery is My pick for best pizza restaurant anywhere .,pizza,positive,positive
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,carry,neutral,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",decor,positive,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",decor,positive,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",decor,positive,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",prices,positive,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",food 's presentation,positive,positive
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",phone,positive,positive
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",radio,positive,positive
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",infrared,positive,positive
"I love it when the weather is warm and sunny , it puts me in such a good mood !",weather,positive,positive
"I love it when the weather is warm and sunny , it puts me in such a good mood !",it,positive,positive
I requested a Riesling and the waiter recommended staying with the Sencere which didn't come by the glass according to the menu but he provided it to us any ways.,waiter,negative,negative
I requested a Riesling and the waiter recommended staying with the Sencere which didn't come by the glass according to the menu but he provided it to us any ways.,glass,neutral,neutral
I requested a Riesling and the waiter recommended staying with the Sencere which didn't come by the glass according to the menu but he provided it to us any ways.,menu,neutral,neutral
The host's explanation was they could not control when people finish dinner.,host,negative,negative
The host's explanation was they could not control when people finish dinner.,dinner,neutral,neutral
Service is average .,Service,neutral,positive
The execution in the dining room was on point and we never had any service or food issues.,dining room,neutral,neutral
The execution in the dining room was on point and we never had any service or food issues.,food,positive,neutral
LOVE the atmosphere - felt like I was in Paris .,atmosphere,positive,positive
"If I had to do it over, I wouldn't buy anything else.",phone,positive,negative
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs,positive,positive
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs,positive,positive
5.  The price is right.,price,positive,positive
"The battery life of this smartphone is disappointing , especially considering its high price .",battery life,negative,negative
"The battery life of this smartphone is disappointing , especially considering its high price .",smartphone,negative,negative
"I was really excited to watch the big game last night , but the poor performance of my favorite team left me feeling disappointed .",favorite team,negative,negative
"The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges.",tomato and onions,neutral,neutral
"The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges.",tomatoes,positive,neutral
For me its perfect and the quality for games and word docs is more than acceptable .,quality,positive,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",life,positive,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",radio,positive,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",signal,positive,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",speakerphone,positive,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",application,positive,positive
"The bar bites weren't anything special (we had calamari and wings, very ordinary), but our dinner was phenomonal, as was our service.",bar bites,neutral,neutral
"The bar bites weren't anything special (we had calamari and wings, very ordinary), but our dinner was phenomonal, as was our service.",calamari,neutral,positive
"The bar bites weren't anything special (we had calamari and wings, very ordinary), but our dinner was phenomonal, as was our service.",dinner,positive,neutral
"The not-so-friendly-cigarette-reeking waiter asked if we had any questions then when we did ask, he rolled his eyes and covered his face with the menu to say something to a passing coworker.",waiter,negative,negative
"The not-so-friendly-cigarette-reeking waiter asked if we had any questions then when we did ask, he rolled his eyes and covered his face with the menu to say something to a passing coworker.",menu,neutral,neutral
"SLOW GUI - Be prepared to wait approximately 90 seconds every time you change one of the sub menu items and click that dreaded `` apply '' button ... yes , 1�1\/2 minutes !",SLOW,negative,negative
"Main dishes encompass the usuals--like chocolatey chicken mole and grilled flank steak-- well as seasonal specials, like soft-shell crabs with orange tequila sauce.",grilled flank steak,neutral,neutral
"Main dishes encompass the usuals--like chocolatey chicken mole and grilled flank steak-- well as seasonal specials, like soft-shell crabs with orange tequila sauce.",specials,positive,neutral
"So I can't tell you if Diaper Champ will be as good at containing the formula generated poop smell, but it's excellent at containing the smell of poop of my breastfed baby!",Champ,positive,positive
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",porcini mushroom pasta special,negative,negative
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",seafood tagliatelle,negative,negative
I do n't think that really matters though - I mean hooked my Xbox 360 up to the standard VGA port a little while ago and the picture was awesome .,picture,positive,positive
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,positive,positive
I ordered dessert and it was they gave me the wrong flavor of ice cream.,dessert,neutral,neutral
I ordered dessert and it was they gave me the wrong flavor of ice cream.,flavor,negative,negative
the manufacturer's warranty only covers replacement/repair of parts.,warranty,negative,neutral
"The workload is overwhelming , but the supportive community of fellow students makes it bearable .",workload,negative,negative
"The workload is overwhelming , but the supportive community of fellow students makes it bearable .",supportive community of fellow students,positive,negative
"Apart from speed, the signal is consistent and works without interruptions, etc.",signal,positive,positive
will never purchase apex again .,apex,negative,negative
Its size makes holding it steady for long a bit of a challenge (not enough camera body to grip with more than your finger tips).,size,negative,positive
"Between the seven of us we sampled just about everything on the menu, and nothing disappointed (ribs pulled pork seemed like the biggest hits).",menu,neutral,neutral
"Between the seven of us we sampled just about everything on the menu, and nothing disappointed (ribs pulled pork seemed like the biggest hits).",ribs,positive,neutral
"Between the seven of us we sampled just about everything on the menu, and nothing disappointed (ribs pulled pork seemed like the biggest hits).",pork,positive,negative
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",design,positive,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",feature,positive,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",use,positive,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",battery,positive,positive
"In edition, they have pasta and other entree choices along with an excellent quick breakfast (omlet and homefries ext).",pasta,neutral,positive
"In edition, they have pasta and other entree choices along with an excellent quick breakfast (omlet and homefries ext).",entree,neutral,neutral
"In edition, they have pasta and other entree choices along with an excellent quick breakfast (omlet and homefries ext).",breakfast,positive,neutral
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,neutral,negative
"As I made the title , it 's an affordable restaurant for great taste .",taste,positive,positive
"Hand set is good, but be aware of this T-MOBILE rebate.",set,positive,negative
"Hand set is good, but be aware of this T-MOBILE rebate.",rebate,negative,negative
  Again I sent it back and they replaced the motherboard and some fan inside.,motherboard,neutral,negative
  Again I sent it back and they replaced the motherboard and some fan inside.,fan,neutral,negative
"Back in May 2004, when I first reviewed this, it had taken me over 16 hours to install and run.",install,negative,negative
"Despite the challenges faced by society , there are still individuals who work tirelessly to make a positive impact .",challenges faced by society,positive,negative
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",Panini,neutral,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",ingredients,positive,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",prosciutto,positive,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",mozzarella,positive,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",dinner,positive,neutral
"Pros The Design is very nice, and the colors are too.",design,positive,positive
"Pros The Design is very nice, and the colors are too.",color,positive,positive
"As for bluetooth, no problems at all.",bluetooth,positive,negative
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",cafe spice,positive,positive
This is not an enterprise piece of hardware that you will find in an office or corporate environment.,piece,negative,negative
"Nietzsche's philosophy of the "" will to power "" has been both praised for its originality and criticized for its potential to justify oppressive behavior .","Nietzsche's philosophy of the "" will to",positive,positive
"Nietzsche's philosophy of the "" will to power "" has been both praised for its originality and criticized for its potential to justify oppressive behavior .","Nietzsche's philosophy of the "" will to",negative,positive
"In addition, I do not think the battery lasts much more than eight to ten hours, and it can take four hours for a full charge.",battery,negative,negative
and salads( try mixed green with mozzarella or chicken).,salads,neutral,neutral
and salads( try mixed green with mozzarella or chicken).,mixed green with mozzarella,positive,neutral
and salads( try mixed green with mozzarella or chicken).,chicken,positive,neutral
3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd player froze .,player,negative,negative
I tried the CD setup program without any luck.,CD,negative,negative
"The staff even went out of their way to print up menus without prices at my request, since the dinner party was my treat.",staff,negative,negative
"The staff even went out of their way to print up menus without prices at my request, since the dinner party was my treat.",menus,neutral,neutral
"The staff even went out of their way to print up menus without prices at my request, since the dinner party was my treat.",dinner,neutral,neutral
i highly recommend visiting this restaurant and having dinner and drinks !,restaurant,positive,positive
"All in all, this product is definitely one I would recommend and certainly worth the very reasonable price.",product,positive,positive
"All in all, this product is definitely one I would recommend and certainly worth the very reasonable price.",price,positive,positive
"The atmosphere's a bit grungy, yes, but the music and the coffee are good.",atmosphere,negative,positive
"The atmosphere's a bit grungy, yes, but the music and the coffee are good.",music,positive,positive
"The atmosphere's a bit grungy, yes, but the music and the coffee are good.",coffee,positive,neutral
"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",process,negative,negative
"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",product,negative,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keys,negative,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keyboard,negative,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",button below the mouse pad,negative,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",screen,negative,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",paint,negative,negative
Decor is charming .,Decor,positive,positive
"Brunch is what Friend of a Farmer is known for, however dinner is equally impressive.",Brunch,positive,neutral
"Brunch is what Friend of a Farmer is known for, however dinner is equally impressive.",dinner,negative,neutral
"As an engineering student , it's frustrating when the professors don't explain the concepts clearly .",professors,negative,negative
"Studying philosophy has been an eye-opening experience for me , as it has challenged me to question my own beliefs and values .",philosophy,positive,positive
"Studying philosophy has been an eye-opening experience for me , as it has challenged me to question my own beliefs and values .",beliefs and values,positive,positive
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",Entree,positive,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",braised beef,neutral,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",pounded chicken,neutral,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",garlic shrimp,neutral,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",served with whipped plaintains,positive,neutral
"Enjoy the food, because it is remarkable, but don't be too willing to be gratuitis to a server that does not deserve it.",food,positive,negative
"Enjoy the food, because it is remarkable, but don't be too willing to be gratuitis to a server that does not deserve it.",server,negative,negative
"I think sound quality should be the first and foremost feature, and the Zen is leaps and bounds better in sound quality, with no need to upgrade the earphones.",quality,positive,positive
Salads were fantastic .,Salads,positive,positive
"It 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks .",food,neutral,negative
"It 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks .",noise,negative,negative
"12 ) big storage - my entire cd collection in one small device ( 5717 songs , 491 albums and counting ) !",storage,positive,positive
"Oh yeah, the food's just alright for the price.",food,positive,positive
"Oh yeah, the food's just alright for the price.",price,neutral,positive
there was no compromise this little camera does amazing things.,camera,positive,positive
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",waiter,negative,negative
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",meal,neutral,neutral
"The sound quality of this album is excellent , but the lyrics are disappointing .",sound quality,positive,negative
"The sound quality of this album is excellent , but the lyrics are disappointing .",lyrics,negative,negative
"The lack of recycling facilities in this area is disappointing , and it makes it difficult to properly dispose of waste in an eco-friendly way .",recycling facilities,negative,negative
"The lack of recycling facilities in this area is disappointing , and it makes it difficult to properly dispose of waste in an eco-friendly way .",waste in,negative,negative
"The lack of recycling facilities in this area is disappointing , and it makes it difficult to properly dispose of waste in an eco-friendly way .",eco-friendly,positive,negative
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,atmosphere,positive,positive
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,rooms,positive,positive
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,views,positive,positive
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,food,positive,positive
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",dinner,neutral,neutral
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",carciofi,positive,neutral
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",entree,positive,neutral
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",branzino fileted,positive,positive
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",tiramisu,neutral,positive
"In the middle of dessert, the waitress silently passes by and drops the check.",dessert,neutral,neutral
"In the middle of dessert, the waitress silently passes by and drops the check.",waitress,negative,negative
"If your favorite Chinese food is General Tao chicken , then this is NOT your place .",General Tao chicken,negative,negative
"The menu: HOT DOGS, that's it, nothing else.",menu,negative,neutral
"The menu: HOT DOGS, that's it, nothing else.",HOT DOGS,neutral,negative
"When I put it to use for my daughter 's graduation party in longer lengths , the speaker wire worked as expected , even out of doors .",speaker wire,positive,positive
player has a problem with dual-layer dvd 's such as alias season 1 and season 2 .,dvd,negative,negative
I was pleasantly surprised when I saw a famous celebrity walking down the street and they stopped to take a picture with me .,famous celebrity,positive,positive
another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world .,phone,positive,positive
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,negative,negative
"The strict grading policies in this course are frustrating , it feels like there is no room for error .",grading policies,negative,negative
"The strict grading policies in this course are frustrating , it feels like there is no room for error .",course,negative,negative
"I was excited to try this new health supplement , but after taking it for a week , I noticed no improvement in my energy levels or overall well-being .",health supplement,negative,negative
all the buttons & neccessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand .,button,positive,positive
"The battery on mine lasts 2 days if I don't play games that much, and it only takes 90 mins to charge from flat.",battery,positive,negative
"It's got funky, fun furniture and a round bar at the front, which is convenient for those waiting to be seated and be prepared to wait for a while, if you don't have reservations.",furniture,positive,positive
"It's got funky, fun furniture and a round bar at the front, which is convenient for those waiting to be seated and be prepared to wait for a while, if you don't have reservations.",reservations,neutral,neutral
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,positive,positive
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,positive,positive
"Servers are layed back, but food arrives rapidly.",Servers,negative,negative
"Servers are layed back, but food arrives rapidly.",food,positive,positive
"The science museum was a fascinating experience , with interactive exhibits that made learning about the natural world fun and engaging .",science museum,positive,positive
"The science museum was a fascinating experience , with interactive exhibits that made learning about the natural world fun and engaging .",interactive exhibits,positive,positive
"I love the variety of styles available at this boutique , but the customer service could use some improvement .",styles,positive,negative
"I love the variety of styles available at this boutique , but the customer service could use some improvement .",customer service,negative,negative
"This phone is not suitable for fast people, maybe only for old people.",phone,negative,negative
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative,negative
"The garden is lovely, too, but the staff seems a bit condescending.",garden,positive,negative
"The garden is lovely, too, but the staff seems a bit condescending.",staff,negative,negative
"the tasty food keeps luring me back, but after placing an order with who i assume must be the same rude sunday manager i keep hearing about, i'm not sure i will again.",food,positive,positive
"the tasty food keeps luring me back, but after placing an order with who i assume must be the same rude sunday manager i keep hearing about, i'm not sure i will again.",manager,negative,negative
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",server,negative,negative
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",food,neutral,neutral
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",table,neutral,neutral
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",water,neutral,neutral
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",drinks,neutral,neutral
") Creative, Inc. the maker includes the barest of the bare minimum in the box, then through gross profiteering nickles and dimes you on EVERY single accessory at extraordinarily inflated prices.",prices,negative,negative
"The entree was bland and small , dessert was not inspired .",entree,negative,negative
"The entree was bland and small , dessert was not inspired .",entree,negative,negative
"The entree was bland and small , dessert was not inspired .",dessert,negative,negative
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm!",menu,positive,neutral
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm!",Tuna Rolls,positive,neutral
