text,aspect,predicted_sentiment
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",entrees,neutral
Went to dinner on a Friday night and the place was packed and hot.,dinner,neutral
Went to dinner on a Friday night and the place was packed and hot.,place,negative
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,positive
"I have tried everything available on the AYCE menu, it has all been quite good (although I am not one to be especially particular with food, sushi in particular.",menu,neutral
"I have tried everything available on the AYCE menu, it has all been quite good (although I am not one to be especially particular with food, sushi in particular.",food,positive
The interface is simple to use.,interface,positive
This is a MUST HAVE product for all new moms!,product,positive
We had to remind the waiter to pour our wine (white) and then he didn't show us the label.,waiter,negative
We had to remind the waiter to pour our wine (white) and then he didn't show us the label.,wine,neutral
We had to remind the waiter to pour our wine (white) and then he didn't show us the label.,white,neutral
"The hike through the forest was peaceful and serene , but the trail was poorly marked .",forest,positive
"The hike through the forest was peaceful and serene , but the trail was poorly marked .",trail,negative
"the voice quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) .",quality,positive
"the voice quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) .",reception,positive
"Unfortunately , the installation software crashed several times and I had to reboot my Vista PC at least twice -- not fun .",installation software,negative
"The quality of the clothes is great , but the customer service is terrible .",clothes is,positive
"The quality of the clothes is great , but the customer service is terrible .",customer service,negative
"All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.",programs,positive
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",seafood,negative
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",menu,negative
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",Salmon,neutral
"In my opinion , philosophy is a fascinating subject that can help us understand the world around us in a deeper way .",philosophy,positive
The 6600 will provide similar service in more developed areas of The States and not as well in more remote areas.,6600,negative
The 6600 will provide similar service in more developed areas of The States and not as well in more remote areas.,service,negative
"The legal system in this country is incredibly complex and difficult to navigate , especially for those without a law degree .",legal system,negative
"The legal system in this country is incredibly complex and difficult to navigate , especially for those without a law degree .",those without a law degree,negative
Take quick pictures with excelent resolution,pictures,positive
wonderful features.,features,positive
The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to a representative .,customer service,negative
The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to a representative .,wait on hold,negative
"I went to Mocca with my boyfriend for a few drinks and food, and I was really impressed by the service.",drinks,neutral
"I went to Mocca with my boyfriend for a few drinks and food, and I was really impressed by the service.",service,positive
I appreciate the effort my professor puts into making the lectures engaging and interactive .,effort my professor,positive
I appreciate the effort my professor puts into making the lectures engaging and interactive .,lectures,positive
I appreciate the effort my professor puts into making the lectures engaging and interactive .,lectures,positive
the place was empty and the waiters just hung out at the bar.,place,negative
the place was empty and the waiters just hung out at the bar.,waiters,negative
the place was empty and the waiters just hung out at the bar.,bar,neutral
They obviously have quality and reliability problems.,quality,negative
They obviously have quality and reliability problems.,reliability,negative
2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .,new release,negative
2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .,beats,negative
2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .,lyrics,negative
"The camera body is sturdy , but the image quality is not as good as expected .",camera body,positive
"The camera body is sturdy , but the image quality is not as good as expected .",image quality,negative
"As an engineering student , it is frustrating that some professors do not provide enough practical experience in their courses .",professors,negative
"As an engineering student , it is frustrating that some professors do not provide enough practical experience in their courses .",practical experience,negative
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,positive
"It is not a very stylish place, but we had some of the best Chinese food we ever had.",place,negative
"It is not a very stylish place, but we had some of the best Chinese food we ever had.",Chinese food,positive
"The price of this medicine is exorbitant , it is a major drawback for those who cannot afford it .",price,negative
"The price of this medicine is exorbitant , it is a major drawback for those who cannot afford it .",major drawback,negative
We keep the Diaper Champ in our daughter's nursery and her room definitely does NOT smell like dirty diapers.,Champ,positive
"I prefer to sit in the lounge area or at the bar, as the service is quicker and the space is more attractive.",bar,neutral
"I prefer to sit in the lounge area or at the bar, as the service is quicker and the space is more attractive.",service,positive
"I prefer to sit in the lounge area or at the bar, as the service is quicker and the space is more attractive.",space,positive
"I say adequate because it was enough to get wireless working, but nowhere near enough instruction to do the proper configuration job that I could have done if so!",instruction,negative
I always get the Shabu-Shabu dinner and the beef is always fresh .,beef,positive
the food was lousy - too sweet or too salty and the portions tiny .,food,negative
the food was lousy - too sweet or too salty and the portions tiny .,food,negative
the food was lousy - too sweet or too salty and the portions tiny .,food,negative
the food was lousy - too sweet or too salty and the portions tiny .,portions,negative
The sound this slim design puts out !!,sound,positive
The sound this slim design puts out !!,design,positive
I have trashed this product on other opinion sites based on this major flaw alone.,product,negative
"I appreciate the efforts of law enforcement to reduce crime in our city , but I think more needs to be done to address the root causes of criminal behavior .",efforts of law enforcement,positive
"I appreciate the efforts of law enforcement to reduce crime in our city , but I think more needs to be done to address the root causes of criminal behavior .",root causes of criminal behavior,neutral
brick oven gallery is My pick for best pizza restaurant anywhere .,pizza,positive
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,carry,neutral
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",decor,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",decor,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",decor,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",prices,positive
"The decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",food 's presentation,positive
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",phone,positive
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",radio,positive
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",infrared,positive
"I love it when the weather is warm and sunny , it puts me in such a good mood !",weather,positive
"I love it when the weather is warm and sunny , it puts me in such a good mood !",it,positive
I requested a Riesling and the waiter recommended staying with the Sencere which didn't come by the glass according to the menu but he provided it to us any ways.,waiter,negative
I requested a Riesling and the waiter recommended staying with the Sencere which didn't come by the glass according to the menu but he provided it to us any ways.,glass,neutral
I requested a Riesling and the waiter recommended staying with the Sencere which didn't come by the glass according to the menu but he provided it to us any ways.,menu,neutral
The host's explanation was they could not control when people finish dinner.,host,negative
The host's explanation was they could not control when people finish dinner.,dinner,neutral
Service is average .,Service,neutral
The execution in the dining room was on point and we never had any service or food issues.,dining room,neutral
The execution in the dining room was on point and we never had any service or food issues.,food,positive
LOVE the atmosphere - felt like I was in Paris .,atmosphere,positive
"If I had to do it over, I wouldn't buy anything else.",phone,positive
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs,positive
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs,positive
5.  The price is right.,price,positive
"The battery life of this smartphone is disappointing , especially considering its high price .",battery life,negative
"The battery life of this smartphone is disappointing , especially considering its high price .",smartphone,negative
"I was really excited to watch the big game last night , but the poor performance of my favorite team left me feeling disappointed .",favorite team,negative
"The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges.",tomato and onions,neutral
"The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges.",tomatoes,negative
For me its perfect and the quality for games and word docs is more than acceptable .,quality,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",life,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",radio,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",signal,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",speakerphone,positive
"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps .",application,positive
"The bar bites weren't anything special (we had calamari and wings, very ordinary), but our dinner was phenomonal, as was our service.",bar bites,neutral
"The bar bites weren't anything special (we had calamari and wings, very ordinary), but our dinner was phenomonal, as was our service.",calamari,neutral
"The bar bites weren't anything special (we had calamari and wings, very ordinary), but our dinner was phenomonal, as was our service.",dinner,positive
"The not-so-friendly-cigarette-reeking waiter asked if we had any questions then when we did ask, he rolled his eyes and covered his face with the menu to say something to a passing coworker.",waiter,negative
"The not-so-friendly-cigarette-reeking waiter asked if we had any questions then when we did ask, he rolled his eyes and covered his face with the menu to say something to a passing coworker.",menu,neutral
"SLOW GUI - Be prepared to wait approximately 90 seconds every time you change one of the sub menu items and click that dreaded `` apply '' button ... yes , 1�1\/2 minutes !",SLOW,negative
"Main dishes encompass the usuals--like chocolatey chicken mole and grilled flank steak-- well as seasonal specials, like soft-shell crabs with orange tequila sauce.",grilled flank steak,neutral
"Main dishes encompass the usuals--like chocolatey chicken mole and grilled flank steak-- well as seasonal specials, like soft-shell crabs with orange tequila sauce.",specials,positive
"So I can't tell you if Diaper Champ will be as good at containing the formula generated poop smell, but it's excellent at containing the smell of poop of my breastfed baby!",Champ,positive
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",porcini mushroom pasta special,negative
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",seafood tagliatelle,negative
I do n't think that really matters though - I mean hooked my Xbox 360 up to the standard VGA port a little while ago and the picture was awesome .,picture,positive
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,positive
I ordered dessert and it was they gave me the wrong flavor of ice cream.,dessert,neutral
I ordered dessert and it was they gave me the wrong flavor of ice cream.,flavor,negative
the manufacturer's warranty only covers replacement/repair of parts.,warranty,negative
"The workload is overwhelming , but the supportive community of fellow students makes it bearable .",workload,negative
"The workload is overwhelming , but the supportive community of fellow students makes it bearable .",supportive community of fellow students,positive
"Apart from speed, the signal is consistent and works without interruptions, etc.",signal,positive
will never purchase apex again .,apex,negative
Its size makes holding it steady for long a bit of a challenge (not enough camera body to grip with more than your finger tips).,size,negative
"Between the seven of us we sampled just about everything on the menu, and nothing disappointed (ribs pulled pork seemed like the biggest hits).",menu,neutral
"Between the seven of us we sampled just about everything on the menu, and nothing disappointed (ribs pulled pork seemed like the biggest hits).",ribs,positive
"Between the seven of us we sampled just about everything on the menu, and nothing disappointed (ribs pulled pork seemed like the biggest hits).",pork,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",design,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",feature,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",use,positive
"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",battery,positive
"In edition, they have pasta and other entree choices along with an excellent quick breakfast (omlet and homefries ext).",pasta,neutral
"In edition, they have pasta and other entree choices along with an excellent quick breakfast (omlet and homefries ext).",entree,neutral
"In edition, they have pasta and other entree choices along with an excellent quick breakfast (omlet and homefries ext).",breakfast,positive
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,neutral
"As I made the title , it 's an affordable restaurant for great taste .",taste,positive
"Hand set is good, but be aware of this T-MOBILE rebate.",set,positive
"Hand set is good, but be aware of this T-MOBILE rebate.",rebate,negative
  Again I sent it back and they replaced the motherboard and some fan inside.,motherboard,neutral
  Again I sent it back and they replaced the motherboard and some fan inside.,fan,neutral
"Back in May 2004, when I first reviewed this, it had taken me over 16 hours to install and run.",install,negative
"Despite the challenges faced by society , there are still individuals who work tirelessly to make a positive impact .",challenges faced by society,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",Panini,neutral
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",ingredients,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",prosciutto,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",mozzarella,positive
"Panini or pizzettes loaded with fresh Italian ingredients such as prosciutto, mozzarella and artichokes make it worth staying for dinner.",dinner,neutral
"Pros The Design is very nice, and the colors are too.",design,positive
"Pros The Design is very nice, and the colors are too.",color,positive
"As for bluetooth, no problems at all.",bluetooth,positive
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",cafe spice,positive
This is not an enterprise piece of hardware that you will find in an office or corporate environment.,piece,negative
"Nietzsche's philosophy of the "" will to power "" has been both praised for its originality and criticized for its potential to justify oppressive behavior .","Nietzsche's philosophy of the "" will to",positive
"Nietzsche's philosophy of the "" will to power "" has been both praised for its originality and criticized for its potential to justify oppressive behavior .","Nietzsche's philosophy of the "" will to",positive
"In addition, I do not think the battery lasts much more than eight to ten hours, and it can take four hours for a full charge.",battery,negative
and salads( try mixed green with mozzarella or chicken).,salads,neutral
and salads( try mixed green with mozzarella or chicken).,mixed green with mozzarella,positive
and salads( try mixed green with mozzarella or chicken).,chicken,positive
3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd player froze .,player,negative
I tried the CD setup program without any luck.,CD,negative
"The staff even went out of their way to print up menus without prices at my request, since the dinner party was my treat.",staff,positive
"The staff even went out of their way to print up menus without prices at my request, since the dinner party was my treat.",menus,neutral
"The staff even went out of their way to print up menus without prices at my request, since the dinner party was my treat.",dinner,neutral
i highly recommend visiting this restaurant and having dinner and drinks !,restaurant,positive
"All in all, this product is definitely one I would recommend and certainly worth the very reasonable price.",product,positive
"All in all, this product is definitely one I would recommend and certainly worth the very reasonable price.",price,positive
"The atmosphere's a bit grungy, yes, but the music and the coffee are good.",atmosphere,negative
"The atmosphere's a bit grungy, yes, but the music and the coffee are good.",music,positive
"The atmosphere's a bit grungy, yes, but the music and the coffee are good.",coffee,positive
"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",process,negative
"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",product,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keys,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keyboard,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",button below the mouse pad,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",screen,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",paint,negative
Decor is charming .,Decor,positive
"Brunch is what Friend of a Farmer is known for, however dinner is equally impressive.",Brunch,positive
"Brunch is what Friend of a Farmer is known for, however dinner is equally impressive.",dinner,negative
"As an engineering student , it's frustrating when the professors don't explain the concepts clearly .",professors,negative
"Studying philosophy has been an eye-opening experience for me , as it has challenged me to question my own beliefs and values .",philosophy,positive
"Studying philosophy has been an eye-opening experience for me , as it has challenged me to question my own beliefs and values .",beliefs and values,positive
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",Entree,positive
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",braised beef,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",pounded chicken,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",garlic shrimp,neutral
"Entree choices seem endless--braised beef, pounded chicken, garlic shrimp, poblano chile, hanger steak-- the platter of subtly spiced pulled pork, served with whipped plaintains, is the restaurant's best.",served with whipped plaintains,positive
"Enjoy the food, because it is remarkable, but don't be too willing to be gratuitis to a server that does not deserve it.",food,positive
"Enjoy the food, because it is remarkable, but don't be too willing to be gratuitis to a server that does not deserve it.",server,negative
"I think sound quality should be the first and foremost feature, and the Zen is leaps and bounds better in sound quality, with no need to upgrade the earphones.",quality,positive
Salads were fantastic .,Salads,positive
"It 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks .",food,neutral
"It 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks .",noise,negative
"12 ) big storage - my entire cd collection in one small device ( 5717 songs , 491 albums and counting ) !",storage,positive
"Oh yeah, the food's just alright for the price.",food,positive
"Oh yeah, the food's just alright for the price.",price,neutral
there was no compromise this little camera does amazing things.,camera,positive
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",waiter,negative
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",meal,neutral
"The sound quality of this album is excellent , but the lyrics are disappointing .",sound quality,positive
"The sound quality of this album is excellent , but the lyrics are disappointing .",lyrics,negative
"The lack of recycling facilities in this area is disappointing , and it makes it difficult to properly dispose of waste in an eco-friendly way .",recycling facilities,negative
"The lack of recycling facilities in this area is disappointing , and it makes it difficult to properly dispose of waste in an eco-friendly way .",waste in,negative
"The lack of recycling facilities in this area is disappointing , and it makes it difficult to properly dispose of waste in an eco-friendly way .",eco-friendly,negative
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,atmosphere,positive
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,rooms,positive
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,views,positive
everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,food,positive
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",dinner,neutral
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",carciofi,positive
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",entree,positive
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",branzino fileted,positive
"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",tiramisu,positive
"In the middle of dessert, the waitress silently passes by and drops the check.",dessert,neutral
"In the middle of dessert, the waitress silently passes by and drops the check.",waitress,negative
"If your favorite Chinese food is General Tao chicken , then this is NOT your place .",General Tao chicken,negative
"The menu: HOT DOGS, that's it, nothing else.",menu,neutral
"The menu: HOT DOGS, that's it, nothing else.",HOT DOGS,neutral
"When I put it to use for my daughter 's graduation party in longer lengths , the speaker wire worked as expected , even out of doors .",speaker wire,positive
player has a problem with dual-layer dvd 's such as alias season 1 and season 2 .,dvd,negative
I was pleasantly surprised when I saw a famous celebrity walking down the street and they stopped to take a picture with me .,famous celebrity,positive
another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world .,phone,positive
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,negative
"The strict grading policies in this course are frustrating , it feels like there is no room for error .",grading policies,negative
"The strict grading policies in this course are frustrating , it feels like there is no room for error .",course,negative
"I was excited to try this new health supplement , but after taking it for a week , I noticed no improvement in my energy levels or overall well-being .",health supplement,negative
all the buttons & neccessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand .,button,positive
"The battery on mine lasts 2 days if I don't play games that much, and it only takes 90 mins to charge from flat.",battery,positive
"It's got funky, fun furniture and a round bar at the front, which is convenient for those waiting to be seated and be prepared to wait for a while, if you don't have reservations.",furniture,positive
"It's got funky, fun furniture and a round bar at the front, which is convenient for those waiting to be seated and be prepared to wait for a while, if you don't have reservations.",reservations,neutral
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,positive
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,positive
"Servers are layed back, but food arrives rapidly.",Servers,negative
"Servers are layed back, but food arrives rapidly.",food,positive
"The science museum was a fascinating experience , with interactive exhibits that made learning about the natural world fun and engaging .",science museum,positive
"The science museum was a fascinating experience , with interactive exhibits that made learning about the natural world fun and engaging .",interactive exhibits,positive
"I love the variety of styles available at this boutique , but the customer service could use some improvement .",styles,positive
"I love the variety of styles available at this boutique , but the customer service could use some improvement .",customer service,neutral
"This phone is not suitable for fast people, maybe only for old people.",phone,negative
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative
"The garden is lovely, too, but the staff seems a bit condescending.",garden,positive
"The garden is lovely, too, but the staff seems a bit condescending.",staff,negative
"the tasty food keeps luring me back, but after placing an order with who i assume must be the same rude sunday manager i keep hearing about, i'm not sure i will again.",food,positive
"the tasty food keeps luring me back, but after placing an order with who i assume must be the same rude sunday manager i keep hearing about, i'm not sure i will again.",manager,negative
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",server,negative
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",food,neutral
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",table,neutral
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",water,neutral
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",drinks,neutral
") Creative, Inc. the maker includes the barest of the bare minimum in the box, then through gross profiteering nickles and dimes you on EVERY single accessory at extraordinarily inflated prices.",prices,negative
"The entree was bland and small , dessert was not inspired .",entree,negative
"The entree was bland and small , dessert was not inspired .",entree,negative
"The entree was bland and small , dessert was not inspired .",dessert,negative
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm!",menu,positive
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm!",Tuna Rolls,positive
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm!",Peruvian Corn,neutral
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,negative
The air quality in my city has been terrible lately due to the high levels of pollution from nearby factories .,air quality,negative
The air quality in my city has been terrible lately due to the high levels of pollution from nearby factories .,pollution from nearby factories,negative
"You can go to all these gormet places and eat expensive pizza this is the best cheese, sauce, bread its a done deal.",pizza,positive
"You can go to all these gormet places and eat expensive pizza this is the best cheese, sauce, bread its a done deal.",cheese,positive
"You can go to all these gormet places and eat expensive pizza this is the best cheese, sauce, bread its a done deal.",sauce,positive
"You can go to all these gormet places and eat expensive pizza this is the best cheese, sauce, bread its a done deal.",bread,positive
"anyway, my wife got this for me for my birthday and I love the thing.",player,positive
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .,beef and noodle soup dishes,negative
video output stopped workin .,output,negative
"There were three parties of two standing in the front entrance looking like bumbling idiots while not a single host, waiter, or manager attended to us.",host,negative
"There were three parties of two standing in the front entrance looking like bumbling idiots while not a single host, waiter, or manager attended to us.",waiter,negative
"There were three parties of two standing in the front entrance looking like bumbling idiots while not a single host, waiter, or manager attended to us.",parties,neutral
not to mention that the waiter offered putting a scoop of ice cream on my dessert.,waiter,negative
not to mention that the waiter offered putting a scoop of ice cream on my dessert.,dessert,neutral
"Reading Friedrich Nietzsche's "" Thus Spoke Zarathustra "" was a mind-blowing experience for me .",Friedrich Nietzsche's,positive
After 57 pictures total the LCD went black except for the icons showing the settings.,LCD,negative
"I absolutely love the camera quality on my new DSLR , the pictures come out so clear and vibrant .",camera quality,positive
